Time(s),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),EstimatedIntegrationError,EulerAngleX(rad),EulerAngleY(rad),EulerAngleZ(rad),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s)
12.839287802546702,0.05322439289934484,-0.07028806016721396,-2.4850341803852326e-16,0.001835632476912135,3.0443701769059044,0.27003554328108315,1.5539987226414604,0.9897484240492699,-0.0470189610986495,-0.13484856383114865,-356.16695177212335,195.65575055850707,3945.5031591988504,-25.10151734933603,15.451559893254608,195.052708074693
12.917165118888596,0.030640098701255985,-0.04787327512031849,-1.6591835680904412e-16,0.0005381421336326412,3.0476009486655666,0.274698805728895,1.5535347831407444,0.9895073469021615,-0.04535400784718191,-0.1371633363326168,-358.1192866446532,196.85520075006426,3960.646542783576,-25.043814142727257,15.34483850995919,193.85047519386885
12.993881718096183,0.002133307384082475,-0.020394335776261405,-7.130419506468896e-17,0.0026798228454183756,3.048718195680491,0.277231484029157,1.5532886664809664,0.9893587773321493,-0.04476530630797907,-0.1384204816965582,-360.0392915235075,198.02736285968848,3975.4726473349656,-25.00487295783744,15.219497877631298,192.66764901310998
13.071443481104646,-0.020218200402336375,0.0004431721580054407,1.2208331343770256e-16,0.00013079679425561232,3.0480449825908873,0.2780468521933137,1.5532098379013506,0.9892873824481956,-0.04508668855954764,-0.1388262892831627,-361.97627539342403,199.20385264468234,3990.370253716048,-24.945938571613976,15.11308168237201,191.48075793800749
13.14758879599281,-0.04277015448579809,0.021070518933608975,2.1383637381089553e-16,0.0011599398461644142,3.0456424459891407,0.2772029780118897,1.5532936312603538,0.9892907300249711,-0.046287324199667614,-0.13840955942894917,-363.8737781328886,200.35046244218262,4004.9063947009386,-24.891231165031172,15.00530042747386,190.3205398455744
13.225189393173672,-0.05761382009692923,0.03397513328588773,3.1415039090849153e-16,0.0008282266195846067,3.041739530666103,0.2750099798738012,1.5535177308291428,0.9893489427959945,-0.04825020398349559,-0.13732324972967222,-365.80254177671145,201.51134327198508,4019.629812989395,-24.814110174575084,14.919296553225006,189.14789835581735
13.302680114640497,-0.06668493794394093,0.04134074737225807,3.409729341052102e-16,0.0002526800365006653,3.036998395498871,0.2720997075158683,1.5538279118766773,0.9894294770034152,-0.05063926690507333,-0.13587962562688558,-367.72191167909773,202.6647213535904,4034.2419284144494,-24.723903374775816,14.849244685883965,187.98508651413704
13.380575280970868,-0.06935735108419447,0.042775508168437365,3.0038093097520123e-16,0.005175491876246764,3.031720606477152,0.268768790359584,1.554199979792113,0.9895159738228413,-0.05330136593991056,-0.13422507896276417,-369.6438976136522,203.81911482293935,4048.839776109107,-24.619200516095756,14.796052175180682,186.82411707611422
13.459779225750538,-0.06349654880287513,0.036370775988439255,2.2504099942201786e-16,0.001006838690268659,3.0265576050413476,0.26566003588472636,1.554563786773838,0.9895811460478037,-0.05590442214272232,-0.1326788455584321,-371.5888084295889,204.98982248219863,4063.590534031923,-24.49310123308664,14.765410618395942,185.65200937879015
13.537544460997081,-0.04918973522701769,0.022281689264193785,2.567127724753419e-16,0.0050513459942076585,3.0221866338395937,0.26333742382310105,1.5548467669567174,0.9896089220070915,-0.05810407521821961,-0.13152222072352082,-373.4880518104924,206.137659212342,4077.9833072612373,-24.34823584187592,14.76003118831516,184.50887591942026
